InstrumentID,ExchangeID,VolumeMultiple,OpenRatioByMoney,OpenRatioByVolume,CloseRatioByMoney,CloseRatioByVolume,CloseTodayRatioByMoney,CloseTodayRatioByVolume
l,DCE,5,0,2,0,2,0,0
pp,DCE,5,0.00005,0,0.00005,0,2.0.00005,0
y,DCE,10,0,2.5,0,2.5,0,0
OI,CZCE,,0,2.5,0,2.5,0,0
m,DCE,10,0,1.5,0,1.5,0,0
RM,CZCE,,0,1.5,0,1.5,0,0
hc,SHFE,10,0.0001,0,0.0001,0,0.0001,0
rb,SHFE,10,0.0001,0,0.0001,0,0.0001,0
j,DCE,100,0.00006,0,0.00006,0,0.00003,0
i,DCE,100,0.00006,0,0.00006,0,0.00003,0
jm,DCE,60,0.00006,0,0.00006,0,0.00003,0
T,CFFEX,10000,0,3,0,3,0,0
TF,CFFEX,10000,0,3,0,3,0,0
TS,CFFEX,20000,0,3,0,3,0,0
IH,CFFEX,300,0.000023,0,0.000023,0,0.000345,0
IF,CFFEX,300,0.000023,0,0.000023,0,0.000345,0
IC,CFFEX,200,0.000023,0,0.000023,0,0.000345,0
SHSTOCK,SH,1,0.00015,0,0.0012,0,0.0012,0
SZSTOCK,SZ,1,0.0002,0,0.0012,0,0.0012,0
SHDEBT,SH,1,0.00002,0,0.00002,0,0.00002,0
SZDEBT,SZ,1,0.0001,0,0.0001,0,0.0001,0
SHOPTION,SH,10000,0,0,0,2,0,2
