order_time,trading_date,account_id,strategy_name,instrument_id,strategy_order_id,system_order_id,entrust_no,option_direction,open_close,long_short,entrust_amount,entrust_price,business_amount,business_price,entrust_status
92503000,,30200141831,D_30200141831,128027.SZ,202,111617,SZDDF0_0302_SZ_437,,开仓,买入,340,143.132000,0,0.000000,未成交
92503000,,30200141831,D_30200141831,128027.SZ,202,111617,SZDDF0_0302_SZ_437,,开仓,买入,340,143.132000,6,143.132000,部分成交
92503000,,30200141831,D_30200141831,128027.SZ,202,111617,SZDDF0_0302_SZ_4431,,开仓,买入,340,143.132000,0,0.000000,未成交
92503000,,30200141831,D_30200141831,128027.SZ,202,111617,SZDDF0_0302_SZ_437,,开仓,买入,340,143.132000,6,143.132000,已撤单
93009000,,30200141831,D_30200141831,128027.SZ,203,111618,SZDDF0_0302_SZ_4750,,开仓,买入,330,143.569000,0,0.000000,未成交
93009000,,30200141831,D_30200141831,128027.SZ,203,111618,SZDDF0_0302_SZ_8397,,开仓,买入,330,143.569000,0,0.000000,未成交
93009000,,30200141831,D_30200141831,128027.SZ,203,111618,SZDDF0_0302_SZ_4750,,开仓,买入,330,143.569000,0,0.000000,已撤单
93024000,,30200141831,D_30200141831,128027.SZ,204,111619,SZDDF0_0302_SZ_8923,,开仓,买入,330,143.703000,0,0.000000,未成交
93042000,,30200141831,D_30200141831,123001.SZ,205,111620,SZDDF0_0302_SZ_12945,,开仓,买入,330,148.603000,0,0.000000,未成交
93024000,,30200141831,D_30200141831,128027.SZ,204,111619,SZDDF0_0302_SZ_13127,,开仓,买入,330,143.703000,0,0.000000,未成交
93024000,,30200141831,D_30200141831,128027.SZ,204,111619,SZDDF0_0302_SZ_8923,,开仓,买入,330,143.703000,0,0.000000,已撤单
93045000,,30200141831,D_30200141831,128027.SZ,206,111621,SZDDF0_0302_SZ_13367,,开仓,买入,330,143.872000,0,0.000000,未成交
93045000,,30200141831,D_30200141831,128027.SZ,206,111621,SZDDF0_0302_SZ_13367,,开仓,买入,330,143.872000,100,143.872000,部分成交
93042000,,30200141831,D_30200141831,123001.SZ,205,111620,SZDDF0_0302_SZ_25578,,开仓,买入,330,148.603000,0,0.000000,未成交
93042000,,30200141831,D_30200141831,123001.SZ,205,111620,SZDDF0_0302_SZ_12945,,开仓,买入,330,148.603000,0,0.000000,已撤单
93124000,,30200141831,D_30200141831,123001.SZ,207,111622,SZDDF0_0302_SZ_26077,,开仓,买入,330,148.719000,0,0.000000,未成交
93045000,,30200141831,D_30200141831,128027.SZ,206,111621,SZDDF0_0302_SZ_28904,,开仓,买入,330,143.872000,0,0.000000,未成交
93045000,,30200141831,D_30200141831,128027.SZ,206,111621,SZDDF0_0302_SZ_13367,,开仓,买入,330,143.872000,100,143.872000,已撤单
93124000,,30200141831,D_30200141831,123001.SZ,207,111622,SZDDF0_0302_SZ_28953,,开仓,买入,330,148.719000,0,0.000000,未成交
93124000,,30200141831,D_30200141831,123001.SZ,207,111622,SZDDF0_0302_SZ_26077,,开仓,买入,330,148.719000,0,0.000000,已撤单
93133000,,30200141831,D_30200141831,123001.SZ,208,111623,SZDDF0_0302_SZ_29505,,开仓,买入,330,149.067000,0,0.000000,未成交
93133000,,30200141831,D_30200141831,123021.SZ,209,111624,SZDDF0_0302_SZ_29877,,开仓,买入,430,114.196000,0,0.000000,未成交
93139000,,30200141831,D_30200141831,128027.SZ,210,111625,SZDDF0_0302_SZ_32021,,开仓,买入,230,143.367000,0,0.000000,未成交
93133000,,30200141831,D_30200141831,123021.SZ,209,111624,SZDDF0_0302_SZ_32701,,开仓,买入,430,114.196000,0,0.000000,未成交
93133000,,30200141831,D_30200141831,123021.SZ,209,111624,SZDDF0_0302_SZ_29877,,开仓,买入,430,114.196000,0,0.000000,已撤单
93142000,,30200141831,D_30200141831,123021.SZ,211,111626,SZDDF0_0302_SZ_33280,,开仓,买入,430,114.342000,0,0.000000,未成交
93139000,,30200141831,D_30200141831,128027.SZ,210,111625,SZDDF0_0302_SZ_34367,,开仓,买入,230,143.367000,0,0.000000,未成交
