买卖日期,策略名,账号,策略ID,系统ID,交易所ID,证券类型,证券代码,开平方向,买卖方向,买卖数量,乘数,买卖价格
20190920,D_30200141831,30200141831,202,111617,SZDDF0_0302_SZ_437,股票,128027.SZ,开仓,买入,6,1,143.132
20190920,D_30200141831,30200141831,206,111621,SZDDF0_0302_SZ_13367,股票,128027.SZ,开仓,买入,100,1,143.872
20190920,D_30200141831,30200141831,217,111632,SZDDF0_0302_SZ_41834,股票,123021.SZ,开仓,买入,120,1,115.036
20190920,D_30200141831,30200141831,221,111636,SZDDF0_0302_SZ_44925,股票,123021.SZ,开仓,买入,250,1,115.182
20190920,D_30200141831,30200141831,222,111637,SZDDF0_0302_SZ_47769,股票,123021.SZ,开仓,买入,60,1,115.255
20190920,D_30200141831,30200141831,218,111633,SZDDF0_0302_SZ_42087,股票,128027.SZ,平仓,卖出,106,1,144.391
20190920,D_30200141831,30200141831,229,111644,SZDDF0_0302_SZ_78433,股票,123021.SZ,平仓,卖出,50,1,114.952
20190920,D_30200141831,30200141831,234,111650,SZDDF0_0302_SH_92259,股票,113520.SH,开仓,买入,190,1,125.860
20190920,D_30200141831,30200141831,236,111652,SZDDF0_0302_SH_92792,股票,113520.SH,平仓,卖出,190,1,126.210
20190920,D_30200141831,30200141831,235,111651,SZDDF0_0302_SZ_92648,股票,123021.SZ,平仓,卖出,300,1,114.659
20190920,D_30200141831,30200141831,238,111655,SZDDF0_0302_SZ_94297,股票,123021.SZ,平仓,卖出,80,1,114.447
20190920,D_30200141831,30200141831,239,111656,SZDDF0_0302_SH_94405,股票,113520.SH,开仓,买入,190,1,126.220
20190920,D_30200141831,30200141831,244,111662,SZDDF0_0302_SH_121875,股票,113520.SH,平仓,卖出,190,1,126.800
20190920,D_30200141831,30200141831,246,111664,SZDDF0_0302_SH_140520,股票,113520.SH,开仓,买入,120,1,126.250
20190920,D_30200141831,30200141831,248,111666,SZDDF0_0302_SH_141975,股票,113520.SH,开仓,买入,10,1,126.330
20190920,D_30200141831,30200141831,251,111669,SZDDF0_0302_SH_145131,股票,113520.SH,开仓,买入,60,1,126.497
