stock_code,lastprice,signal
000070.SZ,12.950000,0.000000
000623.SZ,16.140000,0.000000
000665.SZ,5.680000,0.000000
000700.SZ,3.490000,0.000000
000783.SZ,7.340000,0.000000
000811.SZ,7.290000,0.000000
000861.SZ,2.710000,0.000000
000887.SZ,9.230000,0.000000
002008.SZ,39.800000,0.000000
002013.SZ,6.740000,0.000000
002078.SZ,8.260000,0.000000
002100.SZ,10.000000,0.000000
002131.SZ,1.740000,0.000000
002139.SZ,6.220000,0.000000
002179.SZ,41.740000,0.000000
002224.SZ,6.160000,0.000000
002245.SZ,3.770000,0.000000
002258.SZ,12.320000,0.000000
002271.SZ,21.430000,0.000000
002273.SZ,14.930000,0.000000
002279.SZ,6.700000,0.000000
002284.SZ,5.530000,0.000000
002318.SZ,7.900000,0.000000
002325.SZ,3.190000,0.000000
002391.SZ,8.700000,0.000000
002446.SZ,10.210000,0.000000
002460.SZ,22.940000,0.000000
002472.SZ,5.370000,0.000000
002496.SZ,2.880000,0.000000
002527.SZ,5.230000,0.000000
002542.SZ,4.250000,0.000000
002548.SZ,11.170000,0.000000
002551.SZ,4.900000,0.000000
002562.SZ,5.080000,0.000000
002597.SZ,20.650000,0.000000
002649.SZ,9.430000,0.000000
002658.SZ,7.450000,0.000000
002707.SZ,5.880000,0.000000
002717.SZ,4.850000,0.000000
002728.SZ,16.760000,0.000000
002741.SZ,12.200000,0.000000
002753.SZ,8.430000,0.000000
002758.SZ,12.480000,0.000000
002772.SZ,7.620000,0.000000
002783.SZ,13.020000,0.000000
002787.SZ,6.980000,0.000000
002793.SZ,20.400000,0.000000
002807.SZ,4.430000,0.000000
002815.SZ,21.590000,0.000000
002823.SZ,10.180000,0.000000
002839.SZ,5.560000,0.000000
002841.SZ,88.680000,0.000000
002863.SZ,5.930000,0.000000
002865.SZ,16.990000,0.000000
002891.SZ,19.420000,0.000000
110030.SH,108.960000,53.602985
110031.SH,109.180000,104.814970
110033.SH,111.770000,22.194381
110034.SH,107.090000,36.863431
110038.SH,109.000000,40.861382
110041.SH,123.960000,6.250046
110042.SH,119.070000,12.603101
110043.SH,104.740000,28.251155
110044.SH,152.930000,6.159990
110045.SH,102.310000,43.483937
110046.SH,121.800000,5.908188
110047.SH,109.130000,14.911780
110048.SH,119.350000,11.227238
110049.SH,121.000000,7.575086
110050.SH,127.500000,2.389497
110051.SH,108.650000,23.874857
110052.SH,126.640000,1.550090
110053.SH,109.110000,21.960177
113008.SH,116.360000,14.805351
113009.SH,113.950000,32.770682
113011.SH,114.000000,14.392212
113012.SH,105.300000,42.110091
113013.SH,120.650000,27.558170
113014.SH,100.240000,75.801062
113016.SH,99.920000,32.781627
113017.SH,103.250000,36.267562
113019.SH,123.600000,13.559619
113020.SH,118.700000,13.402648
113021.SH,106.410000,34.228943
113022.SH,108.420000,47.924138
113502.SH,98.180000,78.524495
113503.SH,138.920000,1.924146
113504.SH,112.050000,16.078304
113505.SH,103.140000,19.916498
113507.SH,122.500000,2.988742
113508.SH,105.570000,51.169592
113509.SH,105.680000,37.262571
113510.SH,109.230000,22.327652
113511.SH,126.810000,4.050688
113514.SH,112.970000,4.431052
113515.SH,118.790000,9.660970
113516.SH,108.820000,15.621237
113517.SH,120.380000,16.058603
113518.SH,117.980000,16.495420
113519.SH,110.500000,21.031014
113520.SH,129.020000,-0.488789
113521.SH,107.430000,11.431507
113522.SH,114.600000,18.824856
113523.SH,124.340000,-0.650847
113524.SH,102.740000,22.662033
113525.SH,107.740000,23.128177
113526.SH,151.010000,0.235188
113527.SH,96.890000,30.293393
113528.SH,101.300000,22.281840
113529.SH,143.000000,-0.282989
123001.SZ,148.530000,0.013135
123002.SZ,142.580000,0.000000
123003.SZ,116.660000,9.253783
123004.SZ,102.888000,22.056101
123007.SZ,106.090000,23.702784
123009.SZ,119.400000,12.395001
123010.SZ,105.000000,21.398523
123011.SZ,103.150000,9.088291
123012.SZ,107.403000,10.792384
123013.SZ,105.470000,17.102276
123014.SZ,124.600000,0.000000
123015.SZ,115.026000,7.206764
123016.SZ,124.736000,3.231849
123017.SZ,119.130000,10.528008
123018.SZ,117.500000,3.163045
123019.SZ,115.600000,7.971564
123020.SZ,120.688000,2.628981
123021.SZ,112.990000,-0.380882
127003.SZ,106.590000,18.931721
127004.SZ,94.811000,106.507892
127005.SZ,119.000000,20.781370
127006.SZ,105.250000,34.913440
127007.SZ,114.000000,12.749137
127008.SZ,235.310000,2.125619
127009.SZ,132.815000,-0.117124
127011.SZ,109.800000,40.210357
128010.SZ,102.706000,153.696946
128012.SZ,98.284000,162.705222
128013.SZ,97.980000,206.662801
128014.SZ,100.498000,58.224076
128015.SZ,96.960000,37.013176
128016.SZ,118.000000,23.281099
128017.SZ,115.200000,28.441757
128018.SZ,98.590000,40.793571
128019.SZ,114.300000,14.489615
128020.SZ,126.300000,3.288913
128021.SZ,112.800000,16.595944
128022.SZ,102.500000,37.808732
128023.SZ,95.248000,77.942340
128025.SZ,112.332000,3.478126
128026.SZ,94.667000,43.427879
128027.SZ,145.730000,-0.178946
128028.SZ,100.551000,85.384020
128029.SZ,116.312000,21.833210
128030.SZ,124.940000,0.468192
128032.SZ,96.398000,78.008413
128033.SZ,102.522000,22.920162
128034.SZ,107.735000,13.968312
128035.SZ,107.000000,40.973021
128036.SZ,121.500000,4.780454
128037.SZ,96.467000,81.498505
128038.SZ,110.571000,9.669579
128039.SZ,111.799000,5.459743
128040.SZ,115.310000,5.232018
128041.SZ,150.791000,1.486160
128042.SZ,103.150000,32.218369
128043.SZ,183.001000,-0.301126
128044.SZ,103.800000,27.093890
128045.SZ,116.500000,32.015427
128046.SZ,103.706000,57.222861
128047.SZ,135.200000,-0.215231
128048.SZ,108.250000,15.448573
128049.SZ,104.000000,12.004398
128050.SZ,101.086000,28.992728
128051.SZ,108.386000,13.053692
128052.SZ,202.500000,4.990832
128053.SZ,109.091000,9.022525
128054.SZ,106.020000,21.864431
128055.SZ,120.000000,2.100340
128056.SZ,102.386000,17.214471
128057.SZ,112.661000,5.250320
128058.SZ,120.000000,6.972364
128059.SZ,126.459000,8.158027
300057.SZ,5.200000,0.000000
300058.SZ,6.380000,0.000000
300168.SZ,15.410000,0.000000
300197.SZ,3.360000,0.000000
300232.SZ,9.460000,0.000000
300297.SZ,6.240000,0.000000
300381.SZ,9.520000,0.000000
300388.SZ,10.670000,0.000000
300393.SZ,14.240000,0.000000
300407.SZ,9.420000,0.000000
300409.SZ,13.010000,0.000000
300422.SZ,10.720000,0.000000
300433.SZ,11.190000,0.000000
300473.SZ,32.790000,0.000000
300497.SZ,17.550000,0.000000
300539.SZ,8.360000,0.000000
300568.SZ,28.220000,0.000000
300618.SZ,61.890000,0.000000
600185.SH,4.940000,0.000000
600233.SH,12.490000,0.000000
600271.SH,22.380000,0.000000
600372.SH,15.040000,0.000000
600398.SH,8.530000,0.000000
600483.SH,9.130000,0.000000
600522.SH,8.970000,0.000000
600566.SH,30.060000,0.000000
600567.SH,3.190000,0.000000
600690.SH,15.830000,0.000000
600728.SH,9.870000,0.000000
600755.SH,7.650000,0.000000
600831.SH,9.950000,0.000000
600863.SH,3.280000,0.000000
600908.SH,5.330000,0.000000
600919.SH,6.770000,0.000000
600996.SH,10.090000,0.000000
600998.SH,14.310000,0.000000
601127.SH,13.060000,0.000000
601211.SH,18.360000,0.000000
601222.SH,4.890000,0.000000
601233.SH,13.110000,0.000000
601238.SH,12.370000,0.000000
601311.SH,9.880000,0.000000
601727.SH,5.200000,0.000000
601818.SH,3.960000,0.000000
601878.SH,9.170000,0.000000
601929.SH,2.230000,0.000000
601966.SH,20.160000,0.000000
601998.SH,5.700000,0.000000
603019.SH,38.010000,0.000000
603023.SH,5.070000,0.000000
603027.SH,22.350000,0.000000
603055.SH,7.110000,0.000000
603179.SH,14.550000,0.000000
603225.SH,11.790000,0.000000
603305.SH,28.690000,0.000000
603313.SH,18.480000,0.000000
603323.SH,5.340000,0.000000
603517.SH,40.800000,0.000000
603518.SH,7.830000,0.000000
603568.SH,21.960000,0.000000
603569.SH,10.730000,0.000000
603588.SH,10.160000,0.000000
603601.SH,7.660000,0.000000
603618.SH,6.240000,0.000000
603626.SH,8.400000,0.000000
603668.SH,8.710000,0.000000
603677.SH,12.210000,0.000000
603738.SH,24.430000,0.000000
603797.SH,13.170000,0.000000
603816.SH,36.900000,0.000000
603822.SH,24.760000,0.000000
603897.SH,20.000000,0.000000
603989.SH,20.690000,0.000000

